ApsimVersion = 7.10
Title = Wheat With Micromet
           Date        biomass      sw_demand             eo       sw_dep()
   (dd/mm/yyyy)        (kg/ha)           (mm)           (mm)           (mm)
     01/01/1940            0.0          0.000          7.718       1489.384
     02/01/1940            0.0          0.000          6.983       1485.998
     03/01/1940            0.0          0.000          7.201       1484.549
     04/01/1940            0.0          0.000          7.080       1483.437
     05/01/1940            0.0          0.000          6.919       1482.499
     06/01/1940            0.0          0.000          6.616       1481.673
     07/01/1940            0.0          0.000          7.233       1480.926
     08/01/1940            0.0          0.000          5.940       1490.791
     09/01/1940            0.0          0.000          7.210       1486.764
     10/01/1940            0.0          0.000          7.285       1485.105
     11/01/1940            0.0          0.000          7.752       1483.908
     12/01/1940            0.0          0.000          8.872       1482.922
     13/01/1940            0.0          0.000          9.225       1482.063
     14/01/1940            0.0          0.000          7.341       1481.293
     15/01/1940            0.0          0.000         11.055       1480.588
     16/01/1940            0.0          0.000         10.270       1479.934
     17/01/1940            0.0          0.000         10.895       1479.321
     18/01/1940            0.0          0.000         10.641       1478.743
     19/01/1940            0.0          0.000         10.284       1478.194
     20/01/1940            0.0          0.000          8.226       1477.670
     21/01/1940            0.0          0.000          7.431       1477.168
     22/01/1940            0.0          0.000          6.489       1476.686
     23/01/1940            0.0          0.000          7.450       1476.221
     24/01/1940            0.0          0.000          8.396       1475.772
     25/01/1940            0.0          0.000         12.093       1475.336
     26/01/1940            0.0          0.000         13.421       1474.914
     27/01/1940            0.0          0.000         12.156       1474.503
     28/01/1940            0.0          0.000         13.065       1474.104
     29/01/1940            0.0          0.000         10.299       1473.714
     30/01/1940            0.0          0.000          7.652       1473.937
     31/01/1940            0.0          0.000          8.575       1473.552
     01/02/1940            0.0          0.000          7.709       1475.220
     02/02/1940            0.0          0.000          3.741       1500.925
     03/02/1940            0.0          0.000          6.126       1496.815
     04/02/1940            0.0          0.000          3.004       1494.387
     05/02/1940            0.0          0.000          5.243       1501.217
